"ROUTEVIEWS_COLLECTOR","ASNUMBER","REGION","PREFIXES"
"route-views.nwax.routeviews.org","6423","US","arin"
"route-views.nwax.routeviews.org","32869","US","arin"
"route-views.nwax.routeviews.org","2044","US","arin"
"route-views.nwax.routeviews.org","32261","US","arin"
"route-views.nwax.routeviews.org","1798","US","arin"
"route-views.nwax.routeviews.org","32261","US","arin"
"route-views.perth.routeviews.org","7606","AU","apnic"
"route-views.perth.routeviews.org","58511","AU","apnic"
"route-views.perth.routeviews.org","7606","AU","apnic"
"route-views.perth.routeviews.org","58511","AU","apnic"
"route-views.perth.routeviews.org","62955","US","arin"
"route-views.perth.routeviews.org","9268","AU","apnic"
"route-views.perth.routeviews.org","58511","AU","apnic"
"route-views.perth.routeviews.org","9268","AU","apnic"
"route-views.perth.routeviews.org","58511","AU","apnic"
"route-views.perth.routeviews.org","140627","AU","apnic"
"route-views.perth.routeviews.org","58511","AU","apnic"
"route-views.perth.routeviews.org","136557","AU","apnic"
"route-views.perth.routeviews.org","58511","AU","apnic"
"route-views.perth.routeviews.org","62955","US","arin"
"route-views.perth.routeviews.org","7606","AU","apnic"
"route-views.perth.routeviews.org","58511","AU","apnic"
"route-views.perth.routeviews.org","58511","AU","apnic"
"route-views.perth.routeviews.org","62955","US","arin"
"route-views.perth.routeviews.org","9268","AU","apnic"
"route-views.perth.routeviews.org","58511","AU","apnic"
"route-views.perth.routeviews.org","58511","AU","apnic"
"route-views.perth.routeviews.org","136557","AU","apnic"
"route-views.perth.routeviews.org","9268","AU","apnic"
"route-views.perth.routeviews.org","58511","AU","apnic"
"route-views.perth.routeviews.org","58511","AU","apnic"
"route-views.perth.routeviews.org","62955","US","arin"
"route-views.phoix.routeviews.org","137818","PH","apnic"
"route-views.rio.routeviews.org","267613","BR","lacnic"
"route-views.rio.routeviews.org","264409","BR","lacnic"
"route-views.rio.routeviews.org","52320","CO","lacnic"
"route-views.rio.routeviews.org","268207","BR","lacnic"
"route-views.rio.routeviews.org","52720","BR","lacnic"
"route-views.rio.routeviews.org","268430","BR","lacnic"
"route-views.rio.routeviews.org","7195","CO","lacnic"
"route-views.rio.routeviews.org","199524","LU","ripencc"
"route-views.rio.routeviews.org","267613","BR","lacnic"
"route-views.rio.routeviews.org","263009","BR","lacnic"
"route-views.rio.routeviews.org","52320","CO","lacnic"
"route-views.rio.routeviews.org","268207","BR","lacnic"
"route-views.rio.routeviews.org","52720","BR","lacnic"
"route-views.rio.routeviews.org","268430","BR","lacnic"
"route-views.rio.routeviews.org","7195","CO","lacnic"
"route-views.rio.routeviews.org","199524","LU","ripencc"
"route-views.routeviews.org","3356","US","arin"
"route-views.routeviews.org","7018","US","arin"
"route-views.routeviews.org","57866","NL","ripencc"
"route-views.routeviews.org","6939","US","arin"
"route-views.routeviews.org","3257","US","ripencc"
"route-views.routeviews.org","49788","NO","ripencc"
"route-views.routeviews.org","8283","NL","ripencc"
"route-views.routeviews.org","1351","US","arin"
"route-views.routeviews.org","701","US","arin"
"route-views.routeviews.org","20130","US","arin"
"route-views.routeviews.org","1239","US","arin"
"route-views.routeviews.org","852","CA","arin"
"route-views.routeviews.org","4901","US","arin"
"route-views.routeviews.org","53767","US","arin"
"route-views.routeviews.org","3333","NL","ripencc"
"route-views.routeviews.org","3267","RU","ripencc"
"route-views.routeviews.org","20080","US","arin"
"route-views.routeviews.org","24441","KH","apnic"
"route-views.routeviews.org","2497","JP","apnic"
"route-views.routeviews.org","1221","AU","apnic"
"route-views.routeviews.org","7660","JP","apnic"
"route-views.routeviews.org","3561","US","arin"
"route-views.routeviews.org","3549","US","arin"
"route-views.routeviews.org","19214","US","arin"
"route-views.routeviews.org","101","US","arin"
"route-views.routeviews.org","20912","IT","ripencc"
"route-views.routeviews.org","3303","CH","ripencc"
"route-views.routeviews.org","7575","AU","apnic"
"route-views.routeviews.org","3303","CH","ripencc"
"route-views.routeviews.org","101","US","arin"
"route-views.routeviews.org","20912","IT","ripencc"
"route-views.routeviews.org","24441","KH","apnic"
"route-views.routeviews.org","701","US","arin"
"route-views.routeviews.org","53767","US","arin"
"route-views.routeviews.org","49788","NO","ripencc"
"route-views.saopaulo.routeviews.org","28571","BR","lacnic"
"route-views.saopaulo.routeviews.org","14026","BR","lacnic"
"route-views.saopaulo.routeviews.org","28589","BR","lacnic"
"route-views.saopaulo.routeviews.org","28329","BR","lacnic"
"route-views.saopaulo.routeviews.org","26162","BR","lacnic"
"route-views.saopaulo.routeviews.org","28329","BR","lacnic"
"route-views.saopaulo.routeviews.org","53013","BR","lacnic"
"route-views.saopaulo.routeviews.org","263047","BR","lacnic"
"route-views.saopaulo.routeviews.org","52888","BR","lacnic"
"route-views.saopaulo.routeviews.org","53237","BR","lacnic"
"route-views.saopaulo.routeviews.org","53013","BR","lacnic"
"route-views.saopaulo.routeviews.org","52940","BR","lacnic"
"route-views.saopaulo.routeviews.org","52863","BR","lacnic"
"route-views.saopaulo.routeviews.org","28283","BR","lacnic"
"route-views.saopaulo.routeviews.org","19551","US","arin"
"route-views.saopaulo.routeviews.org","53240","BR","lacnic"
"route-views.saopaulo.routeviews.org","262612","BR","lacnic"
"route-views.saopaulo.routeviews.org","262317","BR","lacnic"
"route-views.saopaulo.routeviews.org","262757","BR","lacnic"
"route-views.saopaulo.routeviews.org","26162","BR","lacnic"
"route-views.saopaulo.routeviews.org","26162","BR","lacnic"
"route-views.saopaulo.routeviews.org","28571","BR","lacnic"
"route-views.saopaulo.routeviews.org","28589","BR","lacnic"
"route-views.saopaulo.routeviews.org","28329","BR","lacnic"
"route-views.saopaulo.routeviews.org","20121","BR","lacnic"
"route-views.saopaulo.routeviews.org","26162","BR","lacnic"
