loc,IPv,Y,X,AS_rank_continent,Colors,ASN
GLOBAL,4,1,-0.4250172657158588,North America,3,396174
GLOBAL,4,1,-0.4250172657158588,North America,3,53630
GLOBAL,4,1,-0.41294306079160153,,4,53552
GLOBAL,4,1,-0.4250172657158588,North America,3,14483
GLOBAL,4,1,-0.41862449378896605,North America,3,393403
GLOBAL,4,1,-0.11523943080886949,North America,3,396914
GLOBAL,4,1,-0.4250172657158588,North America,3,395436
GLOBAL,4,1,-0.4250172657158588,North America,3,4890
GLOBAL,4,1,-0.4250172657158588,North America,3,396534
GLOBAL,4,1,-0.4250172657158588,North America,3,62789
GLOBAL,4,1,-0.4250172657158588,North America,3,18927
GLOBAL,4,1,-0.32422082714937517,North America,3,63237
GLOBAL,4,1,-0.4250172657158588,North America,3,397442
GLOBAL,4,1,-0.4250172657158588,North America,3,36126
GLOBAL,4,1,-0.4250172657158588,North America,3,394093
GLOBAL,4,1,-0.3411509686774679,North America,3,63000
GLOBAL,4,1,-0.4250172657158588,North America,3,29987
GLOBAL,4,1,-0.4250172657158588,North America,3,395697
GLOBAL,4,1,-0.4250172657158588,North America,3,40004
GLOBAL,4,1,-0.4250172657158588,North America,3,54673
GLOBAL,4,1,-0.1270786657704638,Africa,2,37159
GLOBAL,4,1,-0.050999539870372236,Africa,2,327698
GLOBAL,4,1,-0.10031024890152425,Africa,2,37368
GLOBAL,4,1,-0.29415887176975847,Africa,2,18931
GLOBAL,4,1,-0.09651979447626845,Africa,2,36951
GLOBAL,4,1,-0.08208747665830388,Africa,2,328036
GLOBAL,4,1,-0.39772023241934995,Asia,0,63855
